Cohort,1,2,3,4,5,6,7,8,9,10+
1978,0.502,1.365,2.39,3.426,5.151,6.347,8.567,10.07,12.524,15.042
1979,0.592,1.386,2.303,3.629,4.783,6.451,8.071,9.817,11.449,14.488
1980,0.575,1.41,2.477,3.325,5.016,6.216,8.599,9.849,11.462,13.526
1981,0.607,1.374,2.368,3.66,4.882,6.964,8.682,10.051,10.824,13.525
1982,0.646,1.418,2.464,3.697,5.363,7.594,8.674,9.608,11.245,14.429
1983,0.672,1.522,2.023,3.474,5.583,6.708,7.611,10.879,10.242,15.712
1984,0.653,1.331,2.388,4.026,5.145,6.388,8.08,9.486,11.305,14.309
1985,0.715,1.383,2.436,3.323,5.071,6.156,7.487,8.873,10.624,15.728
1986,0.704,1.427,2.265,3.619,4.782,5.804,7,8.604,8.807,18.917
1987,0.669,1.41,2.134,3.456,4.681,6.023,7.189,8.72,11.934,10.844
1988,0.556,1.469,2.384,3.414,4.435,5.757,6.557,11.745,11.024,11.734
1989,0.493,1.502,2.452,3.753,4.882,6.867,8.374,9.532,11.374,13.599
1990,0.527,1.488,2.313,3.084,4.582,6.306,7.737,7.639,11.086,13.985
1991,0.773,1.399,2.151,3.413,5,6.379,7.697,7.629,10.45,13.254
1992,0.788,1.338,2.073,3.61,4.802,5.529,7.834,8.285,8.404,11.532
1993,0.366,1.21,1.95,3.145,3.917,5.418,6.643,8.081,9.136,11.5
1994,0.323,1.353,2.323,3.33,4.43,5.774,6.953,7.874,9.293,10.139
1995,0.323,1.379,2.283,3.349,4.436,5.321,6.108,8.085,8.365,11.293
1996,0.514,1.435,2.201,3.253,4.488,5.392,6.495,7.007,8.785,11.381
1997,0.454,1.408,2.104,3.35,4.121,5.162,5.788,7.396,8.764,9.001
1998,0.551,1.361,2.356,2.942,3.948,4.68,5.606,8.044,7.383,8.694
1999,0.451,1.55,2.182,2.952,3.854,4.799,5.321,6.382,6.849,10.268
2000,0.521,1.391,2.101,2.881,3.851,4.526,6.434,6.946,8.177,11.419
2001,0.547,1.435,2.246,3.1,3.901,4.519,5.798,8.14,9.366,12.27
2002,0.462,1.605,2.397,2.947,3.632,4.078,5.696,6.622,6.182,14.11
2003,0.356,1.619,2.044,3.1,3.519,5.391,6.115,5.889,11.302,0
2004,0.203,0.907,2.179,2.81,3.646,4.633,4.769,5.73,0,0
2005,0.266,1.128,2.106,2.831,3.887,3.759,4.778,0,0,0
2006,0.295,1.524,2.351,3.307,3.654,4.551,0,0,0,0
2007,0.276,1.68,2.143,2.875,3.613,0,0,0,0,0
2008,0.537,1.387,2.208,2.941,0,0,0,0,0,0
2009,0.531,1.214,2.289,0,0,0,0,0,0,0
2010,0.365,1.231,0,0,0,0,0,0,0,0
2011,0.273,0,0,0,0,0,0,0,0,0
