Year,0,1,2,3,4,5,6+
1968,49788.78,8061.119,4429.815,1846.942,766.1993,316.5308,247.2501
1969,70916.94,9085.206,3392.141,1716.322,801.2573,338.7563,252.2401
1970,116626.7,12935.74,3638.497,1082.909,611.5257,290.9423,217.1539
1971,41581.58,21281.64,5449.569,1415.994,471.9209,271.5932,228.3487
1972,110047.9,7586.805,8832.055,1999.915,581.329,197.4488,211.6795
1973,25382.48,20081.93,3212.409,3506.016,889.2951,263.4415,187.6499
1974,87804.34,4630.385,8145.545,1077.898,1314.077,339.6829,174.3536
1975,27893.89,16020.02,1915.199,2950.238,436.6468,542.4971,214.7051
1976,42582.61,5088.538,6499.766,643.3252,1106.985,166.969,292.9145
1977,45993.25,7767.967,2058.975,2160.279,238.7995,418.7597,176.1171
1978,95694.92,8389.805,3126.579,670.3148,785.1957,88.45474,222.9201
1979,113785.2,17463.22,3565.223,1258.743,302.3647,360.9596,144.9317
1980,64883.32,20760.84,7249.847,1310.132,517.4716,126.6791,214.416
1981,28800.81,11837.93,8575.754,2612.39,527.962,212.519,141.8111
1982,41796.86,5253.904,4793.374,2858.168,972.4438,200.2855,136.0129
1983,65423.43,7623.38,2080.174,1463.231,973.0422,337.3846,118.0631
1984,62609.76,11934.21,3070.916,679.4069,533.5891,361.6142,171.2201
1985,49816.97,11421.62,4844.601,1033.671,255.4626,204.4679,206.5698
1986,140508.4,9086.666,4554.539,1520.746,362.0401,91.18418,148.4867
1987,67137.92,25628.95,3624.87,1431.9,533.4721,129.4284,86.73685
1988,30475.62,12243.06,9896.509,1003.33,441.2906,167.5469,68.69678
1989,35851.21,5557.077,4687.115,2648.602,298.8096,133.9327,72.53573
1990,39224.54,6535.789,2063.668,1113.529,698.8156,80.34276,56.16791
1991,66160.06,7153.599,2558.492,602.5797,362.3478,231.7403,45.80787
1992,15559.25,12060.9,2648.127,600.3207,156.9904,96.20335,74.52867
1993,42872.35,2836.09,4393.683,583.5567,146.734,39.10423,43.03501
1994,34669.43,7813.217,1008.576,881.1332,129.6026,33.20938,18.81538
1995,33208.94,6317.518,2734.19,189.9199,183.5539,27.51265,11.17429
1996,49018.61,6055.81,2435.895,752.4529,58.18887,57.31198,12.22009
1997,15143.05,8937.649,2296.128,627.7554,215.6515,16.99507,20.53988
1998,3913.782,2760.801,3347.174,563.7931,171.2788,59.96164,10.56354
1999,28820.11,713.6805,1061.235,910.1285,170.6379,52.82888,21.99982
2000,11840.57,5247.374,224.177,130.9511,123.3637,23.56889,10.45597
2001,14782.96,2102.578,1835.08,41.48175,16.3704,41.14235,25.83012
2002,5194.148,2645.86,807.4563,491.8135,8.667627,6.98311,52.1846
2003,8858.996,923.45,938.5168,158.0415,66.46099,3.000571,47.52513
2004,5039.796,1585.919,355.5168,254.0159,33.47651,28.53617,40.93936
2005,5505.867,904.2438,627.0635,106.9349,62.28701,15.4179,55.14722
2006,6282.431,986.9587,353.6529,180.6417,24.69739,27.87553,56.63175
2007,1301.582,1122.844,372.7197,88.69514,34.42644,10.0807,67.05985
2008,4474.757,232.7758,427.2301,96.29466,17.61403,14.3318,62.15557
2009,8134.283,799.2855,87.28599,104.1859,17.65195,7.056822,61.31012
2010,4084.52,1454.355,303.1624,22.27136,20.33552,7.287889,55.18547
2011,4466.403,729.973,548.8405,75.81952,4.227985,8.284886,50.36447
2012,6435.362,809.6701,326.1934,267.909,36.38457,2.686145,47.71525
2013,9012.852,1159.2,335.4785,118.0784,84.93077,18.95151,40.97797
2014,4621.101,1638.523,535.851,187.2608,68.24488,58.987,48.7093
2015,8298.284,841.2545,769.7663,318.8663,118.2694,49.4561,87.41713
2016,670.0225,1512.702,401.5621,487.8702,219.7878,89.37459,111.6139
2017,8018.318,122.2905,732.7655,269.7559,364.5399,172.6379,164.1379
