year,1,2,3,4,5,6,7+
1994,0.03,0.35,0.74,0.78,1,1,1
1995,0.03,0.35,0.74,0.78,1,1,1
1996,0.03,0.35,0.74,0.78,1,1,1
1997,0.03,0.35,0.74,0.78,1,1,1
1998,0.03,0.35,0.74,0.78,1,1,1
1999,0.03,0.35,0.74,0.78,1,1,1
2000,0.04,0.52,0.83,0.81,1,1,1
2001,0.01,0.49,0.82,0.92,1,1,1
2002,0.01,0.4,0.79,0.82,1,1,1
2003,0.02,0.39,0.72,0.77,1,1,1
2004,0.02,0.46,0.77,0.79,1,1,1
2005,0.02,0.53,0.79,0.92,1,1,1
2006,0.01,0.7,0.88,0.98,1,1,1
2007,0.02,0.79,0.91,0.98,1,1,1
2008,0.03,0.81,0.87,0.95,1,1,1
2009,0.03,0.7,0.85,0.88,1,1,1
2010,0.17,0.69,0.8,0.84,1,1,1
2011,0.14,0.67,0.86,0.88,1,1,1
2012,0.19,0.67,0.81,0.89,1,1,1
2013,0.1,0.67,0.86,0.88,1,1,1
2014,0.08,0.67,0.81,0.89,1,1,1
2015,0.05,0.65,0.83,0.89,1,1,1
2016,0.08,0.71,0.85,0.83,1,1,1
2017,0.06,0.64,0.84,0.83,1,1,1
